chromosome coordinate	FPKM
8:94631983-94633128	0.15098
4:127416146-127417191	1.50603
4:83615530-83617710	0.0597545
2:218763243-218763453	0
2:218749308-218749746	0
2:218813639-218815132	0.0476367
8:142995658-143000733	2.86985
1:10989503-10990029	0.299463
8:146463133-146463855	3.19585
8:141828425-141828875	0.268067
8:134902881-134904730	33.9848
8:155048121-155050392	0.630786
8:135454967-135456427	1.53161
8:95418475-95419577	0.264422
10:19588510-19590481	0.18589
3:176451408-176452821	3.19174
2:235329844-235331604	0.0812593
7:113160833-113161289	0.766278
8:152733694-152733826	37.7695
8:100995862-100996707	0.438115
2:65888773-65890442	0.0595142
1:67148033-67148423	0.227435
8:36215488-36216358	0.424806
7:122114276-122129927	0.204651
8:5029175-5038529	0.0377094
8:138225305-138225551	155.654
10:129251134-129290754	0.108933
