chromosome coordinate	FPKM
8:149425928-149442843	0.195666
8:149469266-149469755	0
6:90942431-90942854	0.574353
7:8842067-8843523	16.18
3:58903686-58904871	92.8119
3:58872335-58884156	0.812098
1:78405996-78407587	1.8373
1:78363800-78365445	0.565129
2:195135436-195136227	0.347529
10:93224471-93226100	0.153637
10:93222604-93224374	3.78977
7:2554870-2557423	1.21705
8:154705494-154707076	0.291723
10:34497195-34506565	1.04126
10:34497195-34506565	0
8:156812350-156813458	0.251637
2:26390067-26391751	5.36377
8:134116721-134117057	3.62222
4:170806530-170807283	3.76425
2:194391630-194395595	20.2868
2:194358300-194361515	17.1658
2:194355265-194356913	2.66804
8:141879095-141879617	0.429673
